Panel,Serial Number,Point,Date,Time,Measurement Temp,CAD Model,Coordinate System,X Ist,Y Ist,Z Ist
51,01-011511,V3,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1431.85,2456,-3118.34
51,01-011511,V4,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1432.91,2895.15,-3100.31
51,01-011511,V5,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1687.95,2668.42,-3110.33
53,01-011531,V1,2024-01-05 00:00:00,13:49:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1936.14,1124.48,-3155.89
53,01-011531,V2,2024-01-05 00:00:00,13:49:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1937.2,1568.41,-3146.37
53,01-011531,V3,2024-01-05 00:00:00,13:49:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1429.76,1123.92,-3155.73
53,01-011531,V4,2024-01-05 00:00:00,13:49:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1436.17,1549.8,-3146.74
53,01-011531,V5,2024-01-05 00:00:00,13:49:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1682.55,1339.56,-3151.98
54,01-011541,V1,2024-01-02 00:00:00,11:49:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1927.31,450.02,-3164.4
54,01-011541,V2,2024-01-02 00:00:00,11:49:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1931.98,896.93,-3159.52
54,01-011541,V3,2024-01-02 00:00:00,11:49:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1435.29,454.82,-3164.13
54,01-011541,V4,2024-01-02 00:00:00,11:49:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1431.21,894.65,-3159.38
54,01-011541,V5,2024-01-02 00:00:00,11:49:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1673.03,668.88,-3162.7
55,01-011551,V1,2024-01-02 00:00:00,10:54:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1932.06,-221.45,-3165.61
55,01-011551,V2,2024-01-02 00:00:00,10:54:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1932.96,220.87,-3165.62
55,01-011551,V3,2024-01-02 00:00:00,10:54:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1429.61,-213.56,-3165.41
55,01-011551,V4,2024-01-02 00:00:00,10:54:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1432.84,210.24,-3165.4
55,01-011551,V5,2024-01-02 00:00:00,10:54:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-1682.07,2.37,-3166.28
56,01-011561,V1,2024-01-04 00:00:00,10:20:00,11.0,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-1925.96,-888.73,-3159.69
56,01-011561,V2,2024-01-04 00:00:00,10:20:00,11.0,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-1926.94,-444.52,-3164.43
56,01-011561,V3,2024-01-04 00:00:00,10:20:00,11.0,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-1429.03,-889.75,-3159.46
56,01-011561,V4,2024-01-04 00:00:00,10:20:00,11.0,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-1425.67,-450.78,-3164.13
56,01-011561,V5,2024-01-04 00:00:00,10:20:00,11.0,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-1676.17,-671.3,-3162.68
