Enabled	Feature	ID  	x        	y        	z       	i       	j       	k        	Dev From Fit	Device Position  	Probe	Device Name
Checked	LATR_4 	148 	1,027.426	6,998.500	-179.155	0.262231	0.939836	-0.218958	0.287       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	149 	1,027.428	6,998.502	-179.152	0.262231	0.939836	-0.218957	0.282       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	150 	1,027.427	6,998.501	-179.154	0.262231	0.939836	-0.218958	0.285       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	151 	1,027.427	6,998.503	-179.150	0.262231	0.939837	-0.218956	0.281       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	152 	1,027.427	6,998.503	-179.144	0.262231	0.939837	-0.218954	0.276       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	153 	1,027.428	6,998.502	-179.148	0.262232	0.939837	-0.218955	0.278       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	154 	1,027.428	6,998.504	-179.145	0.262231	0.939837	-0.218954	0.276       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	155 	1,027.429	6,998.503	-179.147	0.262232	0.939837	-0.218955	0.278       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	156 	1,027.429	6,998.501	-179.148	0.262232	0.939837	-0.218956	0.279       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	157 	1,027.427	6,998.503	-179.144	0.262231	0.939837	-0.218954	0.275       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	158 	1,027.428	6,998.503	-179.144	0.262232	0.939837	-0.218954	0.275       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	159 	1,027.428	6,998.505	-179.139	0.262231	0.939838	-0.218952	0.270       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	160 	1,027.429	6,998.503	-179.141	0.262232	0.939837	-0.218953	0.273       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	161 	1,027.429	6,998.503	-179.141	0.262232	0.939837	-0.218953	0.272       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	162 	1,027.429	6,998.503	-179.139	0.262232	0.939837	-0.218952	0.271       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	163 	1,027.430	6,998.504	-179.139	0.262232	0.939837	-0.218952	0.270       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	164 	1,027.429	6,998.505	-179.138	0.262232	0.939838	-0.218952	0.269       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	165 	1,027.432	6,998.503	-179.135	0.262233	0.939837	-0.218951	0.266       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	166 	1,027.431	6,998.504	-179.134	0.262233	0.939838	-0.218950	0.265       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	167 	1,027.429	6,998.506	-179.133	0.262232	0.939838	-0.218950	0.264       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	168 	1,027.431	6,998.507	-179.132	0.262232	0.939838	-0.218949	0.262       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	169 	1,027.432	6,998.505	-179.135	0.262233	0.939837	-0.218951	0.266       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	170 	1,027.431	6,998.506	-179.132	0.262233	0.939838	-0.218950	0.263       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	171 	1,027.427	6,998.507	-179.130	0.262231	0.939838	-0.218949	0.262       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	172 	1,027.431	6,998.507	-179.125	0.262233	0.939838	-0.218947	0.256       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	173 	1,027.434	6,998.507	-179.128	0.262233	0.939838	-0.218948	0.258       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	174 	1,027.432	6,998.507	-179.126	0.262233	0.939838	-0.218948	0.257       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	175 	1,027.433	6,998.507	-179.126	0.262233	0.939838	-0.218947	0.256       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	176 	1,027.433	6,998.508	-179.125	0.262233	0.939838	-0.218947	0.255       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	177 	1,027.438	6,998.507	-179.125	0.262235	0.939838	-0.218947	0.254       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	178 	1,027.432	6,998.509	-179.124	0.262233	0.939838	-0.218947	0.254       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	179 	1,027.436	6,998.507	-179.126	0.262234	0.939838	-0.218947	0.255       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	180 	1,027.437	6,998.508	-179.123	0.262235	0.939838	-0.218946	0.252       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	181 	1,027.437	6,998.509	-179.119	0.262234	0.939838	-0.218945	0.249       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	182 	1,027.437	6,998.507	-179.122	0.262235	0.939838	-0.218946	0.252       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	183 	1,027.438	6,998.508	-179.120	0.262235	0.939838	-0.218945	0.250       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	184 	1,027.436	6,998.509	-179.120	0.262234	0.939838	-0.218945	0.250       	Device Position 1	38.1 	V20003907682
